Nome,Depth,i,seed,regex,Melhor_fitness,Melhor_nosso,Numero_de_comparacoes,Tempo,Tempo_total,Timed_out
warmup,5,1,4105328976,foo,21,42,414475,15085,20367,false
warmup,5,1,6370951248,foo,21,42,108759,4797,20688,false
order,5,1,4105328976,n^i|[a-d]e|fa|[o-t][t-z]\b|[o-r][o-y]\b|v$,20,41,452593,34589,47824,false
warmup,5,2,9431657082,foo,21,42,146059,6016,27376,false
order,5,1,6370951248,^[a-o][c-o][c-t][e-t],20,41,452748,20095,30486,false
warmup,5,3,1874029365,foo,21,42,192542,6516,30127,false
warmup,5,4,5691784320,foo,21,42,420690,22017,28470,false
order,5,2,9431657082,^a[c-l]|t[o-z]\b|[f-t][o-t][o-y]\b|w[^]jp|[f-p]in|^m$,20,41,467595,38611,55440,false
order,5,3,1874029365,[^ew]o[o-y]|[f-s]tt|[abc][c-h],19,40,131011,6250,29236,false
warmup,5,5,8392760514,foo,21,42,5867,281,36095,false
warmup,5,6,4612780539,foo,21,42,76498,2766,21642,false
order,5,4,5691784320,^ad|nw|[o-t][o-z]$,17,38,349842,20564,36877,false
warmup,5,7,8261384957,foo|lce$,21,42,55042,2281,39971,false
order,5,5,8392760514,^[a-g][c-o][c-t][e-t]|sy|o$,21,42,530126,25017,28830,false
warmup,5,8,2463075891,foo,21,42,423411,15110,20939,false
order,5,6,4612780539,nt[o-z]|[f-t][o-t][o-y]\b|n^gap|ws|[lm]$,17,38,330422,23517,48971,false
warmup,5,9,9135874206,foo,21,42,271535,13173,29017,false
warmup,5,10,7095231486,foo,21,42,211439,10376,30095,false
order,5,7,8261384957,t[o-z]|o[o-y]|[a-d]e|ps|gl$,17,38,75197,3735,35814,false
warmup,5,11,9842301657,[fg]oo,21,42,274751,10547,23736,false
warmup,5,12,2196735084,foo,21,42,121713,5250,22298,false
order,5,8,2463075891,it|[l-o][o-t][p-t]|h^[^c]dc|\b[abc][c-h],21,42,370803,26486,50268,false
warmup,5,13,9067852413,foo|^f$,21,42,75597,3141,34642,false
order,5,9,9135874206,o\w[s-y]|^[a-f][c-l],20,41,348528,17813,35471,false
warmup,5,14,2405681973,foo|po$,21,42,308958,15782,34549,false
order,5,10,7095231486,^c|[bcd][e-h]|[t-y]$,19,40,523264,27782,32283,false
warmup,5,15,2738495106,foo,21,42,102001,3828,31517,false
order,5,11,9842301657,^a[c-l]|e[^w]f|jd|[st][t-z]\b|[o-r][o-y]\b|y[f-r][l-t]u,20,41,494338,30533,43799,false
warmup,5,16,1069782534,foo,21,42,37165,1406,21611,false
warmup,5,17,3018795246,foo,21,42,278359,12798,25361,false
order,5,12,2196735084,[st][t-z]\b|[o-r][o-y]\b|k[^]^gy,17,38,448057,28220,41986,false
warmup,5,18,1736058429,foo,21,42,60968,2828,22470,false
warmup,5,19,6087432195,[fg]oo,21,42,82137,2875,28048,false
order,5,13,9067852413,[a-d]e|[f-t][o-t][o-z]$,20,41,65927,3047,49127,false
warmup,5,20,4925731068,[fg]oo,21,42,263666,10251,25486,false
order,5,14,2405681973,^a|o[^]s|m[o-z]|[h-n][o-z][o-z]|y$,17,38,524960,40815,48237,false
warmup,5,21,3486027915,foo,21,42,289259,11329,26830,false
warmup,5,22,6941372580,foo,21,42,387314,13610,26158,false
order,5,15,2738495106,^[a-f][c-l]|imno|o\w[s-y],20,41,101862,4657,32611,false
warmup,5,23,1068243795,foo,21,42,491008,22704,27892,false
order,5,16,1069782534,o\w[s-y]|^[a-f][c-l]|lw[t-y]$,20,41,217008,10204,39580,false
warmup,5,24,1764028593,foo,21,42,406107,14141,22111,false
order,5,17,3018795246,^[abc][cde][c-l]|md|[f-t][o-y][o-z]$,20,41,386109,22860,42502,false
warmup,5,25,3857069214,foo,21,42,579061,34564,35142,false
warmup,5,26,9125784630,foo,21,42,543753,24438,26626,false
order,5,18,1736058429,^[a-f][c-l]|rl[t-z]mo|o\w[s-y],20,41,398940,20642,36002,false
warmup,5,28,1258360497,[fg]oo,21,42,269461,15938,30002,false
order,5,19,6087432195,[st][t-z]\b|[o-r][o-y]\b|y^ns|[a-d]e|^s$,20,41,319861,19267,40455,false
warmup,5,29,7965023841,foo,21,42,131572,6157,27580,false
order,5,20,4925731068,^[a-g][c-o][c-t][e-t]|s[wxy],21,42,74870,3313,32924,false
anchors,5,1,4105328976,[ijk]$,21,42,355552,14173,23720,false
anchors,5,1,6370951248,k$,21,42,84784,3313,23532,false
order,5,21,3486027915,[f-o][o-t][p-t]|[abc][c-h],19,40,70732,2828,44408,false
